term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"london","london","1005","1000","1.005","2.012523983960155","-0.031454572871003866"
"finals","final","50","1000","0.05","-0.8687023235541691","-0.06642231617654262"
"atp","atp","50","1000","0.05","-0.021658053614816753","-0.2902175075158797"
"uk","uk","36","1000","0.036","1.92861848644063","-0.280905016694336"
"british","british","36","1000","0.036","1.7752438540215632","0.11224021948432572"
"britain","britain","35","1000","0.035","1.617865506054877","0.41544870694799513"
"reuters","reuter","33","1000","0.033","1.059543862978821","-0.09567044339830881"
"prince","princ","33","1000","0.033","-0.2853654927774317","1.103588144322646"
"buhari","buhari","33","1000","0.033","0.34833527869595504","0.02727703312720994"
"remembrance","remembr","32","1000","0.032","-0.6254156457929573","1.1580784323392286"
"england","england","31","1000","0.031","2.2195113665168447","-0.12906018040547423"
"djokovic","djokov","31","1000","0.031","",""
"university","univers","30","1000","0.03","-0.5845427909364319","0.48003561840108155"
"royal","royal","26","1000","0.026","-0.20598598432326817","1.0456574072296592"
"london-based","london-bas","26","1000","0.026","",""
"mayor","mayor","25","1000","0.025","-0.6448725640110298","0.8422270309494712"
"harry","harri","25","1000","0.025","1.5105090251825726","-0.0037569588299556076"
"nadal","nadal","24","1000","0.024","1.1383724840254525","-0.046184054916962834"
"cenotaph","cenotaph","24","1000","0.024","-0.3567600773884243","1.811836830353721"
"united","unit","22","1000","0.022","-0.37663009241129963","0.24389640947701624"
"election","elect","21","1000","0.021","-0.6520649473930711","0.6227264759517092"
"constitution","constitut","20","1000","0.02","-0.3231343653359355","0.922131199036926"
"christmas","christma","19","1000","0.019","1.1653508607247707","0.1910754999181803"
"ubani","ubani","18","1000","0.018","",""
"trump","trump","18","1000","0.018","-0.4379490175038693","-0.7061786324367645"
"premier","premier","18","1000","0.018","-0.6661801571047312","-0.5227500622563144"
"league","leagu","18","1000","0.018","-0.5554896057185933","0.0007715205305625125"
"federer","feder","18","1000","0.018","1.069620272262004","-0.01113750419473127"
"conservatives","conserv","18","1000","0.018","-0.423434683003058","0.5226543772468539"
"breached","breach","18","1000","0.018","-0.6005024859764047","-0.41214945256851754"
"arsenal","arsenal","18","1000","0.018","-0.5211026048985512","-0.34068468302935206"
"arena","arena","18","1000","0.018","-0.6626055749638158","-0.1340714351876905"
"o2","o2","16","1000","0.016","0.5557907453305824","-0.2936910456759126"
"johnson's","johnson","16","1000","0.016","",""
"awards","award","16","1000","0.016","-0.7495246559595282","-0.4124761114425103"
"european","european","15","1000","0.015","1.7177619795180963","-0.4736378439605099"
"economics","econom","15","1000","0.015","-0.35232482759990075","-0.27368715093549695"
"william","william","14","1000","0.014","2.171526062107705","0.285740926346141"
"ranking","rank","14","1000","0.014","-0.7281783267017983","-0.4388544406225067"
"novak","novak","14","1000","0.014","0.42279727346132145","-0.1702465236113212"
"lord","lord","14","1000","0.014","0.34321737697885185","0.6056629357909261"
"leicester","leicest","14","1000","0.014","0.5075762920248768","-0.17063598218160653"
"college","colleg","14","1000","0.014","-0.4877065956258419","0.19625690067544502"
"ceremony","ceremoni","14","1000","0.014","-0.8575416777818391","0.7910089565407349"
"campaign","campaign","14","1000","0.014","-0.7834656968581432","0.11915487422381771"
"paris","pari","13","1000","0.013","1.6341705552717476","0.17805993083772703"
"olympic","olymp","13","1000","0.013","0.8954607732070657","0.04993450639414665"
"museum","museum","13","1000","0.013","-0.7084319762253767","0.9971073189636117"
"minister","minist","13","1000","0.013","-0.6336349228441563","0.6739659161272278"
"veterans","veteran","12","1000","0.012","-0.7947571409967604","0.31627283225622715"
"tsitsipas","tsitsipa","12","1000","0.012","",""
"summit","summit","12","1000","0.012","-0.6243830756531443","0.33604750841256004"
"rafael","rafael","12","1000","0.012","0.33695311251642546","-0.22234919558624885"
"manchester","manchest","12","1000","0.012","1.5508907980632702","-0.19659887381786412"
"hospital","hospit","12","1000","0.012","-0.712053015322826","0.6598775493191555"
"global","global","12","1000","0.012","-0.42058795145751865","-0.5758368859753548"
"zverev","zverev","11","1000","0.011","",""
"wreath","wreath","11","1000","0.011","-0.5962034553689761","1.508075586572391"
"theatre","theatr","11","1000","0.011","",""
"roger","roger","11","1000","0.011","1.546323350101366","-0.005192407595689319"
"queen","queen","11","1000","0.011","-0.13325073353433253","0.7482424657495612"
"pictured","pictur","11","1000","0.011","-0.4188060914929172","-0.08960287824576647"
"park","park","11","1000","0.011","-0.6349300617674567","0.4295446044233196"
"media","media","11","1000","0.011","-0.45058533283696933","-0.056844825611720565"
"cup","cup","11","1000","0.011","-0.20728950522507966","0.11259718010179287"
"bbc","bbc","11","1000","0.011","1.8219278917563388","0.1016616598020582"
"year-end","year-end","10","1000","0.01","-0.3685708344173496","-0.45863920680844256"
"victims","victim","10","1000","0.01","-0.7140835102504172","0.7188835274252923"
"tennis","tenni","10","1000","0.01","-0.3782852847470825","0.10745596169288228"
"palace","palac","10","1000","0.01","-0.32795607213398936","1.3419620777644272"
"nigeria","nigeria","10","1000","0.01","2.3335112136524523","0.2404038559753444"
"nato","nato","10","1000","0.01","1.083917088448161","0.3626051738148543"
"launch","launch","10","1000","0.01","-0.5713888088223374","-0.6952197390708843"
"kate","kate","10","1000","0.01","1.8031553653613648","0.4778241224139399"
"club's","club","10","1000","0.01","-0.40875534870506774","-0.039169003924665526"
"berrettini","berrettini","10","1000","0.01","",""
"â","â","9","1000","0.009","0.454013745873473","-0.3304878291946179"
"vietnamese","vietnames","9","1000","0.009","0.7184187617786911","0.31041182668382333"
"victory","victori","9","1000","0.009","-1.0954996127900638","-0.10285513518177011"
"sport","sport","9","1000","0.009","-0.45290808958822315","0.01447304921180692"
"protests","protest","9","1000","0.009","-0.7711405228963731","0.5716538271719391"
"parliament","parliament","9","1000","0.009","-0.3595059547564134","0.9662626549010351"
"medvedev","medvedev","9","1000","0.009","",""
"medal","medal","9","1000","0.009","-0.6776796959297544","0.5903939485301809"
"los","los","9","1000","0.009","1.1836427169593509","-0.6831319331908983"
"kong","kong","9","1000","0.009","1.022385822837592","-0.03110465322332077"
"hotel","hotel","9","1000","0.009","-0.6297613757912462","0.2507142306068952"
"hong","hong","9","1000","0.009","0.7798025075951036","-0.15265113448152787"
"france","franc","9","1000","0.009","1.8926637677116571","-0.1539911687673417"
"chelsea","chelsea","9","1000","0.009","2.3514004907399007","0.21043367866548252"
"charity","chariti","9","1000","0.009","-0.6194353173427491","0.31916845054782866"
"brexit","brexit","9","1000","0.009","",""
"archbishop","archbishop","9","1000","0.009","-0.6793808229656817","1.4312778774791635"
"angeles","angel","9","1000","0.009","0.428493420592124","-0.12176406519947519"
"alexander","alexand","9","1000","0.009","1.4695091823237156","0.1520370302230908"
"whitehall","whitehal","8","1000","0.008","",""
"tower","tower","8","1000","0.008","-0.7405195584494493","0.28082949453187017"
"stefanos","stefano","8","1000","0.008","",""
"sixth","sixth","8","1000","0.008","-0.9245312862990629","-0.38385378385094776"
"signing","sign","8","1000","0.008","-0.5808962354867342","-0.3978239144651662"
"poppies","poppi","8","1000","0.008","-0.43606468400678844","1.3276447530431408"
"matteo","matteo","8","1000","0.008","",""
"liverpool","liverpool","8","1000","0.008","2.248501541055085","0.34666758601874553"
"leader","leader","8","1000","0.008","-0.7759588229985702","-0.19154081787454771"
"investors","investor","8","1000","0.008","-0.7962125751522668","-0.18442466573130337"
"glasgow","glasgow","8","1000","0.008","0.7304668114975911","-0.15567689384650577"
"germany","germani","8","1000","0.008","1.8941753542541586","-0.27121952309545055"
"gallery","galleri","8","1000","0.008","-0.39593955668725656","0.5778482958544137"
