term,stem,count,x,y,z,x,y,sample_size,ratio,google_w2v_x,google_w2v_y,,180,260
zealand,zealand,47,,,,,,1000,0.047,1.554361979,-0.768010919,,,
trump,trump,34,180,260,,0,0,1000,0.034,-0.33647799,-0.117458873,,,
mexico,mexico,28,,,,,,1000,0.028,2.306040874,-0.533092339,,,
minister,minist,24,210,254,,30,-6,1000,0.024,-0.628879632,0.35671052,,,
mayor,mayor,22,150,309,,-30,49,1000,0.022,-0.582900297,0.792691318,,,
liverpool,liverpool,22,,,,,,1000,0.022,2.226375367,0.575432926,,,
delhi,delhi,21,,,,,,1000,0.021,1.61934724,-0.327177554,,,
league,leagu,20,,,,,,1000,0.02,-0.473756382,0.74189456,,,
manchester,manchest,17,,,,,,1000,0.017,1.629088862,-0.010371164,,,
election,elect,17,,,,,,1000,0.017,-0.635084521,0.490837326,,,
bloomberg,bloomberg,17,,,,,,1000,0.017,1.936417266,-0.358328843,,,
united,unit,15,,,,,,1000,0.015,-0.35045788,0.109831734,,,
launch,launch,15,,,,,,1000,0.015,-0.506179169,-0.927997041,,,
city's,citi,15,,,,,,1000,0.015,0.246392154,-0.07575619,,,
premier,premier,14,,,,,,1000,0.014,-0.525341717,-0.491281289,,,
photo,photo,14,,,,,,1000,0.014,-0.20456478,0.107709679,,,
centre,centr,14,,,,,,1000,0.014,,,,,
kansas,kansa,13,,,,,,1000,0.013,1.923365988,-0.254067052,,,
democratic,democrat,13,,,,,,1000,0.013,-0.490913963,0.249948964,,,
leader,leader,12,,,,,,1000,0.012,-0.67472708,-0.052120625,,,
fires,fire,12,,,,,,1000,0.012,-0.773732445,0.503560347,,,
celebrities,celebr,12,,,,,,1000,0.012,-0.413331134,0.170440796,,,
australia,australia,12,,,,,,1000,0.012,2.159940056,-0.726340685,,,
wales,wale,11,,,,,,1000,0.011,1.217001,-0.183030373,,,
veterans,veteran,11,,,,,,1000,0.011,-0.666886257,0.3179252,,,
london,london,11,,,,,,1000,0.011,2.097105984,-0.270321985,,,
india,india,11,,,,,,1000,0.011,2.029592339,-0.851448524,,,
david,david,11,,,,,,1000,0.011,2.254362807,-0.105165927,,,
california,california,11,,,,,,1000,0.011,2.322513031,-0.571023252,,,
